id	localidad	secc_codigo	x2022	x2019	diff2019
3001901012	Cieza	sección 01012	15750	15050	
3001901013	Cieza	sección 01013	16450	15050	
3001901014	Cieza	sección 01014	14350	13650	
3001901015	Cieza	sección 01015	13650	12950	
3001901016	Cieza	sección 01016	15050	13650	
3001901017	Cieza	sección 01017	15750	14350	
3001901018	Cieza	sección 01018	15050	13650	
3001901019	Cieza	sección 01019	15750	14350	
3001901020	Cieza	sección 01020	15050	14350	
3001901021	Cieza	sección 01021	10850	10150	
3001901022	Cieza	sección 01022	15050	13650	
3001901023	Cieza	sección 01023	15750	13650	
3001901024	Cieza	sección 01024	13650	12250	
3001901025	Cieza	sección 01025	15050	13650	
3001901026	Cieza	sección 01026	15050	13650	
3001901027	Cieza	sección 01027	12950	11550	
3001901028	Cieza	sección 01028	17150	15750	
3001901029	Cieza	sección 01029	13650	11550	
3001901030	Cieza	sección 01030	14350	12250	
3001901031	Cieza	sección 01031	13650	12250	
3001901032	Cieza	sección 01032	15050	13650	
3001901033	Cieza	sección 01033	16450	15050	
3001902001	Cieza	sección 02001	15050	13650	
3002001001	Fortuna	sección 01001	12250	11550	
3002001002	Fortuna	sección 01002	12950	12250	
3002001003	Fortuna	sección 01003	12250	11550	
3002001004	Fortuna	sección 01004	14350	13650	
3002001005	Fortuna	sección 01005	14350	13650	
3002001006	Fortuna	sección 01006	12950	11550	
3002101001	Fuente Álamo de Murcia	sección 01001	11550	11550	
3002101002	Fuente Álamo de Murcia	sección 01002	11550	11550	
3002101003	Fuente Álamo de Murcia	sección 01003	13650	12250	
3002101004	Fuente Álamo de Murcia	sección 01004	10850	10150	
3002101005	Fuente Álamo de Murcia	sección 01005	12950	12250	
3002101006	Fuente Álamo de Murcia	sección 01006	15050	14350	
3002101007	Fuente Álamo de Murcia	sección 01007	13650	12250	
3002101008	Fuente Álamo de Murcia	sección 01008	15050	13650	
3002101009	Fuente Álamo de Murcia	sección 01009	14350	13650	
3002101010	Fuente Álamo de Murcia	sección 01010	16450	14350	
3002101011	Fuente Álamo de Murcia	sección 01011	14350	12950	
3002101012	Fuente Álamo de Murcia	sección 01012	14350	14350	
3002201001	Jumilla	sección 01001	10150	8750	
3002201004	Jumilla	sección 01004	9450	8050	
3002201005	Jumilla	sección 01005	12950	12250	
3002201006	Jumilla	sección 01006	15050	12950	
3002201007	Jumilla	sección 01007	15050	13650	
3002201008	Jumilla	sección 01008	16450	15050	
3002201009	Jumilla	sección 01009	13650	12250	
3002201010	Jumilla	sección 01010	12950	12950	
3002201011	Jumilla	sección 01011	15750	14350	
3002201012	Jumilla	sección 01012	12250	10850	
3002201013	Jumilla	sección 01013	15050	13650	
3002201014	Jumilla	sección 01014	14350	12950	
3002201015	Jumilla	sección 01015	15750	13650	
3002201016	Jumilla	sección 01016	11550	10150	
3002201017	Jumilla	sección 01017			
3002201018	Jumilla	sección 01018	15050	13650	
3002201019	Jumilla	sección 01019	14350	13650	
3002201020	Jumilla	sección 01020	17150	15750	
3002201021	Jumilla	sección 01021	13650	12250	
3002201022	Jumilla	sección 01022	14350	12950	
3002201023	Jumilla	sección 01023	15750	13650	
3002201024	Jumilla	sección 01024	15050	13650	
3002202001	Jumilla	sección 02001	15050	14350	
3002301001	Librilla	sección 01001	17150	15750	
3002301002	Librilla	sección 01002	15750	14350	
3002301003	Librilla	sección 01003	16450	15750	
3002301004	Librilla	sección 01004	15050	14350	
3002301005	Librilla	sección 01005	16450	13650	
3002401001	Lorca	sección 01001	8750	8050	
3002401002	Lorca	sección 01002	15050	12950	
3002401003	Lorca	sección 01003	18550	17850	
3002401004	Lorca	sección 01004	13300	13650	
3002401005	Lorca	sección 01005	11550	10850	
3002401006	Lorca	sección 01006	13650	12250	
3002401007	Lorca	sección 01007	22050	20650	
3002401008	Lorca	sección 01008	14350	13650	
3002401009	Lorca	sección 01009	14350	12950	
3002401010	Lorca	sección 01010	13650	12250	
3002401011	Lorca	sección 01011	15750	14350	
3002401012	Lorca	sección 01012	12950	11550	
3002401013	Lorca	sección 01013	15750	13650	
3002401014	Lorca	sección 01014	11550	10150	
3002401015	Lorca	sección 01015	12250	11550	
3002401016	Lorca	sección 01016	11550	10850	
3002401017	Lorca	sección 01017	11550	10850	
3002401018	Lorca	sección 01018	12950	11550	
3002401019	Lorca	sección 01019	10850	10150	
3002401020	Lorca	sección 01020	22050	19250	
3002401021	Lorca	sección 01021	17850	17150	
3002401022	Lorca	sección 01022	19950	17850	
3002401023	Lorca	sección 01023	17850	15750	
3002401024	Lorca	sección 01024	16450	14350	
3002401025	Lorca	sección 01025	19250	17150	
3002401026	Lorca	sección 01026	21350	18550	
3002401027	Lorca	sección 01027	15050	13650	
3002401028	Lorca	sección 01028	17150	15750	
3002401029	Lorca	sección 01029	14350	12950	
3002401030	Lorca	sección 01030	16450	14350	
3002401031	Lorca	sección 01031	15750	12950	
3002401032	Lorca	sección 01032	12250	10850	
3002401033	Lorca	sección 01033	16450	15750	
3002401034	Lorca	sección 01034	14350	12950	
3002401035	Lorca	sección 01035	12950	11550	
3002401036	Lorca	sección 01036	20650	18550	
3002401037	Lorca	sección 01037	15050	14350	
3002401038	Lorca	sección 01038	15750	15050	
3002401039	Lorca	sección 01039	15750	13650	
3002401040	Lorca	sección 01040	15750	15050	
3002401041	Lorca	sección 01041	17150	15050	
3002401042	Lorca	sección 01042	16450	15050	
3002401043	Lorca	sección 01043	17150	15050	
3002401044	Lorca	sección 01044	14350	12950	
3002402001	Lorca	sección 02001	17150	15050	
3002402002	Lorca	sección 02002	15750	13650	
3002402003	Lorca	sección 02003	16450	14350	
3002402004	Lorca	sección 02004	16450	14350	
3002402005	Lorca	sección 02005	17150	15050	
3002402006	Lorca	sección 02006	15050	14350	
3002402007	Lorca	sección 02007	15750	14350	
3002402008	Lorca	sección 02008	16450	13650	
3002402009	Lorca	sección 02009	10850	10850	
3002402010	Lorca	sección 02010	17150	14350	
3002402011	Lorca	sección 02011	15050	12950	
3002402012	Lorca	sección 02012	14350	12950	
3002402013	Lorca	sección 02013	15750	12950	
3002402014	Lorca	sección 02014	13650	12250	
3002402015	Lorca	sección 02015	14350	12950	
3002402016	Lorca	sección 02016	15050	12950	
3002402017	Lorca	sección 02017	13650	12250	
3002402019	Lorca	sección 02019	13650	11550	
3002402021	Lorca	sección 02021	17150	15050	
3002402022	Lorca	sección 02022	16450	14350	
3002402023	Lorca	sección 02023	15750	13650	
3002402025	Lorca	sección 02025	17150	15050	
3002402026	Lorca	sección 02026	16450	14350	
3002402028	Lorca	sección 02028	15050	12950	
3002402029	Lorca	sección 02029	14350	12950	
3002501001	Lorquí	sección 01001	13650	12250	
3002501002	Lorquí	sección 01002	16450	14350	
3002501003	Lorquí	sección 01003	13650	12950	
3002501004	Lorquí	sección 01004	15750	15050	
3002501005	Lorquí	sección 01005			
3002501006	Lorquí	sección 01006	12950	11550	
3002501007	Lorquí	sección 01007	15050	12950	
